lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,valid_frame_mse_step,valid_frame_mae_step,valid_frame_mse_epoch,valid_frame_mae_epoch,valid_loss_epoch,valid_csi_16_epoch,valid_csi_74_epoch,valid_csi_133_epoch,valid_csi_160_epoch,valid_csi_181_epoch,valid_csi_219_epoch,valid_csi_avg_epoch,valid_pod_16_epoch,valid_pod_74_epoch,valid_pod_133_epoch,valid_pod_160_epoch,valid_pod_181_epoch,valid_pod_219_epoch,valid_pod_avg_epoch,valid_sucr_16_epoch,valid_sucr_74_epoch,valid_sucr_133_epoch,valid_sucr_160_epoch,valid_sucr_181_epoch,valid_sucr_219_epoch,valid_sucr_avg_epoch,valid_bias_16_epoch,valid_bias_74_epoch,valid_bias_133_epoch,valid_bias_160_epoch,valid_bias_181_epoch,valid_bias_219_epoch,valid_bias_avg_epoch
9.974094705380097e-05,9.974094705380097e-05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.974094705380097e-05,9.974094705380097e-05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.974094705380097e-05,9.974094705380097e-05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.974094705380097e-05,9.974094705380097e-05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.974094705380097e-05,9.974094705380097e-05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.974094705380097e-05,9.974094705380097e-05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.974094705380097e-05,9.974094705380097e-05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.974094705380097e-05,9.974094705380097e-05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.974094705380097e-05,9.974094705380097e-05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.974094705380097e-05,9.974094705380097e-05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.974094705380097e-05,9.974094705380097e-05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.974094705380097e-05,9.974094705380097e-05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.974094705380097e-05,9.974094705380097e-05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.974094705380097e-05,9.974094705380097e-05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.974094705380097e-05,9.974094705380097e-05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,0.026892241090536118,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.964751031591839e-05,9.964751031591839e-05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.964751031591839e-05,9.964751031591839e-05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.964751031591839e-05,9.964751031591839e-05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.964751031591839e-05,9.964751031591839e-05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.964751031591839e-05,9.964751031591839e-05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.964751031591839e-05,9.964751031591839e-05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.964751031591839e-05,9.964751031591839e-05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.964751031591839e-05,9.964751031591839e-05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.964751031591839e-05,9.964751031591839e-05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.964751031591839e-05,9.964751031591839e-05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.964751031591839e-05,9.964751031591839e-05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.964751031591839e-05,9.964751031591839e-05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.964751031591839e-05,9.964751031591839e-05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.964751031591839e-05,9.964751031591839e-05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.964751031591839e-05,9.964751031591839e-05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.964751031591839e-05,9.964751031591839e-05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.015230667777359486,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.95397712831414e-05,9.95397712831414e-05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.95397712831414e-05,9.95397712831414e-05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.95397712831414e-05,9.95397712831414e-05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.95397712831414e-05,9.95397712831414e-05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.95397712831414e-05,9.95397712831414e-05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.95397712831414e-05,9.95397712831414e-05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.95397712831414e-05,9.95397712831414e-05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.95397712831414e-05,9.95397712831414e-05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.95397712831414e-05,9.95397712831414e-05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.95397712831414e-05,9.95397712831414e-05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.95397712831414e-05,9.95397712831414e-05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.95397712831414e-05,9.95397712831414e-05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.95397712831414e-05,9.95397712831414e-05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.95397712831414e-05,9.95397712831414e-05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.95397712831414e-05,9.95397712831414e-05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.95397712831414e-05,9.95397712831414e-05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.013589560985565186,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.941776102387256e-05,9.941776102387256e-05,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.941776102387256e-05,9.941776102387256e-05,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.941776102387256e-05,9.941776102387256e-05,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.941776102387256e-05,9.941776102387256e-05,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.941776102387256e-05,9.941776102387256e-05,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.941776102387256e-05,9.941776102387256e-05,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
